2026-05-12T23:33:32.950551 | no signal
2026-05-12T23:33:32.952028 | loop end - sleeping
2026-05-12T23:33:32.953028 | sleeping until next candle
2026-05-13T00:00:05.955593 | loop start
2026-05-13T00:00:07.125140 | Daily BTC performance logged
2026-05-13T00:00:07.601381 | TwelveData OK - 227 rows
2026-05-13T00:00:07.627139 | TwelveData fetch completed
2026-05-13T00:00:09.058253 | Binance fetch complete
2026-05-13T00:00:09.076249 | Data ready - 227 rows, last=2026-05-12 23:30:00+05:30
2026-05-13T00:00:09.078252 | data fetched price=80467.52
2026-05-13T00:00:09.078252 | no signal
2026-05-13T00:00:09.079332 | loop end - sleeping
2026-05-13T00:00:09.079332 | sleeping until next candle
2026-05-13T00:30:05.086603 | loop start
2026-05-13T00:30:17.799664 | TwelveData OK - 228 rows
2026-05-13T00:30:17.831383 | TwelveData fetch completed
2026-05-13T00:30:19.255173 | Binance fetch complete
2026-05-13T00:30:19.293499 | Data ready - 228 rows, last=2026-05-13 00:30:00+05:30
2026-05-13T00:30:19.294500 | data fetched price=80686.08
2026-05-13T00:30:19.295500 | no signal
2026-05-13T00:30:19.295500 | loop end - sleeping
2026-05-13T00:30:19.296500 | sleeping until next candle
2026-05-13T01:00:05.305748 | loop start
2026-05-13T01:00:14.478673 | TwelveData OK - 227 rows
2026-05-13T01:00:14.513768 | TwelveData fetch completed
2026-05-13T01:00:15.998769 | Binance fetch complete
2026-05-13T01:00:16.038333 | Data ready - 227 rows, last=2026-05-13 00:30:00+05:30
2026-05-13T01:00:16.039332 | data fetched price=80690.74
2026-05-13T01:00:16.039332 | no signal
2026-05-13T01:00:16.040789 | loop end - sleeping
2026-05-13T01:00:16.040789 | sleeping until next candle
2026-05-13T01:30:05.056758 | loop start
2026-05-13T01:30:14.323569 | TwelveData OK - 227 rows
2026-05-13T01:30:14.357388 | TwelveData fetch completed
2026-05-13T01:30:15.785096 | Binance fetch complete
2026-05-13T01:30:15.840560 | Data ready - 227 rows, last=2026-05-13 01:00:00+05:30
2026-05-13T01:30:15.842510 | data fetched price=80818.75
2026-05-13T01:30:15.842510 | no signal
2026-05-13T01:30:15.843609 | loop end - sleeping
2026-05-13T01:30:15.843609 | sleeping until next candle
2026-05-13T02:00:05.856401 | loop start
2026-05-13T02:00:14.304068 | TwelveData OK - 227 rows
2026-05-13T02:00:14.335578 | TwelveData fetch completed
2026-05-13T02:00:15.703061 | Binance fetch complete
2026-05-13T02:00:15.740454 | Data ready - 227 rows, last=2026-05-13 01:30:00+05:30
2026-05-13T02:00:15.742512 | data fetched price=80797.45
2026-05-13T02:00:15.742512 | no signal
2026-05-13T02:00:15.743760 | loop end - sleeping
2026-05-13T02:00:15.743760 | sleeping until next candle
2026-05-13T02:30:05.754381 | loop start
2026-05-13T02:30:21.600962 | TwelveData OK - 227 rows
2026-05-13T02:30:21.706474 | TwelveData fetch completed
2026-05-13T02:30:23.221018 | Binance fetch complete
2026-05-13T02:30:23.284105 | Data ready - 227 rows, last=2026-05-13 02:00:00+05:30
2026-05-13T02:30:23.285105 | data fetched price=80673.03
2026-05-13T02:30:23.287107 | no signal
2026-05-13T02:30:23.287107 | loop end - sleeping
2026-05-13T02:30:23.288108 | sleeping until next candle
2026-05-13T03:00:05.294924 | loop start
2026-05-13T03:00:15.396557 | TwelveData OK - 227 rows
2026-05-13T03:00:15.418219 | TwelveData fetch completed
2026-05-13T03:00:16.779431 | Binance fetch complete
2026-05-13T03:00:16.807380 | Data ready - 227 rows, last=2026-05-13 02:30:00+05:30
2026-05-13T03:00:16.809843 | data fetched price=80631.15
2026-05-13T03:00:16.809843 | no signal
2026-05-13T03:00:16.810929 | loop end - sleeping
2026-05-13T03:00:16.810929 | sleeping until next candle
2026-05-13T03:30:05.818526 | loop start
2026-05-13T03:30:10.182836 | TwelveData OK - 227 rows
2026-05-13T03:30:10.198065 | TwelveData fetch completed
2026-05-13T03:30:11.614541 | Binance fetch complete
2026-05-13T03:30:11.630282 | Data ready - 227 rows, last=2026-05-13 03:00:00+05:30
2026-05-13T03:30:11.631282 | data fetched price=80569.23
2026-05-13T03:30:11.632284 | no signal
