,datetime,open,high,low,close
1017,2025-12-17 17:30:00,86956.02,90336.36,86778.45,87197.29
1018,2025-12-17 21:30:00,87192.13,87734,85267.69,85980
1019,2025-12-18 01:30:00,85981.99,86397.33,85610.5,86209.77
1020,2025-12-18 05:30:00,86209.79,86852,85823.16,86578
1021,2025-12-18 09:30:00,86578,86869.79,86346.38,86798
1022,2025-12-18 13:30:00,86798.01,87421,86652.54,87228.34
1023,2025-12-18 17:30:00,87233.12,89447.75,87067.41,88451.99
1024,2025-12-18 21:30:00,88448.63,88485.6,84432.2,84433.02
1025,2025-12-19 01:30:00,84433.01,85791.41,84400,85460.02
1026,2025-12-19 05:30:00,85460.85,87516.51,85052.78,86824.07
1027,2025-12-19 09:30:00,86830.89,88333.66,86605,87895.12
1028,2025-12-19 13:30:00,87892.69,88335.02,87675.29,88146.46
1029,2025-12-19 17:30:00,88150.02,89365.85,87460.48,87896.58
1030,2025-12-19 21:30:00,87896.13,88846.47,86784.83,87779.29
1031,2025-12-20 01:30:00,87779.29,88375.35,87531.01,88092.65
1032,2025-12-20 05:30:00,88092.65,88318.83,87919.18,88174.63
1033,2025-12-20 09:30:00,88174.63,88530.6,88077.48,88245.89
1034,2025-12-20 13:30:00,88244.01,88399.15,88063,88238.01
1035,2025-12-20 17:30:00,88238,88312.91,87780,88138
1036,2025-12-20 21:30:00,88140,88389,88058.58,88197.16
1037,2025-12-21 01:30:00,88197.01,88414.2,88112.1,88324
1038,2025-12-21 05:30:00,88322.01,88409.99,87830.01,88050
1039,2025-12-21 09:30:00,88050,88178.91,88014.01,88150.02
1040,2025-12-21 13:30:00,88149.17,89046.44,88111.8,88569.99
1041,2025-12-21 17:30:00,88570,88897.66,87501.01,88035.59
1042,2025-12-21 21:30:00,88035.59,88576.17,87908.48,88460.88
1043,2025-12-22 01:30:00,88462.01,88791.99,88073.6,88639.95
1044,2025-12-22 05:30:00,88639.87,89600,87846.17,88750.01
1045,2025-12-22 09:30:00,88750,89175.4,88686.01,89134.76
1046,2025-12-22 13:30:00,89130.1,90070.74,89054.24,89900.32
1047,2025-12-22 17:30:00,89900.32,90541.8,89142.55,89691.94
1048,2025-12-22 21:30:00,89698.56,90092.18,87914.59,87996.17
1049,2025-12-23 01:30:00,87996.17,88778.85,87853.86,88556.77
1050,2025-12-23 05:30:00,88555.03,88896.63,87745.67,88114.4
1051,2025-12-23 09:30:00,88117.41,88327.04,86997.14,87505.98
1052,2025-12-23 13:30:00,87505.97,87838.3,87239.24,87806.84
1053,2025-12-23 17:30:00,87808.49,87903.49,86533.86,87390.51
1054,2025-12-23 21:30:00,87390.51,88235,87094.01,87690.84
1055,2025-12-24 01:30:00,87693.42,88321.65,87123.43,87429.32
