,datetime,open,high,low,close
121,2026-01-21 05:30:00,88310.6,89495.99,88130.01,89319.06
122,2026-01-21 09:30:00,89319.06,90009.7,88908.91,89092.77
123,2026-01-21 13:30:00,89088.72,89387.16,88600,88691.8
124,2026-01-21 17:30:00,88691.73,90500,88107.16,90208.16
125,2026-01-21 21:30:00,90208.15,90368.7,87156,90281.8
126,2026-01-22 01:30:00,90281.8,90313.78,89269.65,89363.71
127,2026-01-22 05:30:00,89363.71,90273.35,89363.71,89801.93
128,2026-01-22 09:30:00,89801.93,90129.4,89698.08,89728.3
129,2026-01-22 13:30:00,89728.3,90062,89663.21,89837.84
130,2026-01-22 17:30:00,89837.84,90250,88408.65,88907.99
131,2026-01-22 21:30:00,88903.97,89850,88570,89676.01
132,2026-01-23 01:30:00,89677.58,89868,89044.04,89463.5
133,2026-01-23 05:30:00,89463.51,89887.98,89345.67,89831.13
134,2026-01-23 09:30:00,89831.13,89972.9,89272.39,89415.47
135,2026-01-23 13:30:00,89415.47,89506.75,88737.98,89094.89
136,2026-01-23 17:30:00,89094.88,89767.99,88440.65,89641.84
137,2026-01-23 21:30:00,89641.85,91147.01,89346.05,89874
138,2026-01-24 01:30:00,89872.95,90052.21,89089.6,89474.93
139,2026-01-24 05:30:00,89474.94,89832.72,89289.74,89637.43
140,2026-01-24 09:30:00,89637.42,89732.38,89426.21,89477.08
141,2026-01-24 13:30:00,89474.47,89549.79,89435,89450.01
142,2026-01-24 17:30:00,89450,89450.01,89042,89131.9
143,2026-01-24 21:30:00,89131.9,89320.8,89007.01,89183.91
144,2026-01-25 01:30:00,89183.91,89358.02,89065.4,89082.17
145,2026-01-25 05:30:00,89082.16,89177.95,88691.92,88819.61
146,2026-01-25 09:30:00,88819.61,88958.03,88488,88521.35
147,2026-01-25 13:30:00,88521.35,88621.26,88000,88430
148,2026-01-25 17:30:00,88430,88847.56,88248.63,88323.61
149,2026-01-25 21:30:00,88323.6,88328.79,86100,86391.94
150,2026-01-26 01:30:00,86391.94,86921.57,86000.13,86561.94
151,2026-01-26 05:30:00,86561.94,87863.84,86411.7,87147.24
152,2026-01-26 09:30:00,87147.24,87986.04,87111.78,87906.01
153,2026-01-26 13:30:00,87906,88289.32,87492.24,87754.38
154,2026-01-26 17:30:00,87754.38,88787.97,87223,87558.14
155,2026-01-26 21:30:00,87558.22,88465,86922.04,87915.99
156,2026-01-27 01:30:00,87914.02,88565.49,87425.93,88250.01
157,2026-01-27 05:30:00,88250,88789.51,88100,88672.02
158,2026-01-27 09:30:00,88672.01,88888,88169.09,88212
159,2026-01-27 13:30:00,88212,88289.2,87615,87861.93
160,2026-01-27 17:30:00,87860.61,88339.99,87431.47,87916.43
161,2026-01-27 21:30:00,87916.42,88723.57,87180.01,88288.25
162,2026-01-28 01:30:00,88286.34,89447.21,88238.5,89116.96
163,2026-01-28 05:30:00,89116.96,89384.41,88855.51,88991.98
164,2026-01-28 09:30:00,88991.98,89289.34,88706.32,89009.79
165,2026-01-28 13:30:00,89009.78,90031.43,88733.54,89961.14
166,2026-01-28 17:30:00,89961.14,90361.9,88760,89360.02
167,2026-01-28 21:30:00,89365.69,90476.81,88872.59,89268.48
168,2026-01-29 01:30:00,89268.48,89778.38,88721.11,89162.4
169,2026-01-29 05:30:00,89162.4,89210.16,87548.86,87906.07
170,2026-01-29 09:30:00,87906.07,88297.88,87753.8,88218.02
171,2026-01-29 13:30:00,88218.02,88349.2,87599.16,87675.87
172,2026-01-29 17:30:00,87675.87,88029,84206,84781.27
173,2026-01-29 21:30:00,84780.01,85493.8,83216.21,83835.02
174,2026-01-30 01:30:00,83834.96,84600,83620,84513.2
175,2026-01-30 05:30:00,84513.19,84599,81000.12,82541.7
176,2026-01-30 09:30:00,82547.07,83202.96,81904.28,82650.01
177,2026-01-30 13:30:00,82652.63,83164.31,82013.9,83004.91
